transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v_noise,threshold_i_noise,peak_v_noise,peak_i_noise,trough_v_noise,trough_i_noise,upstroke_noise,upstroke_v_noise,downstroke_noise,downstroke_v_noise,fast_trough_v_noise,fast_trough_i_noise,width_noise,upstroke_downstroke_ratio_noise,f_i_curve_slope,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,seal_gohm,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,file_name
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-35.48530579,451.8474731,12.89453125,452.6458435,-45.0200882,361.0483704,192.261615,-13.3660717,-55.01260063,-5.099888325,-41.13002396,427.0967407,0.000945119,3.541348236,0.253838583,-45.43750381,-49.35416794,-61.65000305,158.503232,0.03296,15.87500095,20.03125127,18.47500153,107.3436737,0.006694205,1.445748224,7.621574553,280,229.25,690,-36.50000381,-39.23958588,-43.27500305,-47.28125381,-52.29166794,-74.78125305,3.17369498,3.507834332,2.417088236,-86.8125,-74.76057434,516838734_59
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-41.29794312,541.0563354,17.48835564,542.7062988,-59.24465179,542.4172974,310.6012169,-6.319272995,-228.1928286,-10.62149525,-59.07152939,544.4564819,0.00040097,1.362737267,1.108849673,-63.75,-56.6458346,-62.65625381,125.898584,0.007085,24.46875,11.34375,22.71875,66.87511504,0.049895506,1.185055488,6.360901179,330,356.5,650,-42.03125,-30.61458333,-47.28125,-63.87500381,-56.76041794,-77.78125,1.400014652,1.159052464,1.481736245,-85.96875763,-76.58113861,396963717_61
Glutamatergic,Glutamatergic,positive,spiny,L5,-32.32207489,301.6451721,33.90372849,298.8709717,-51.84223938,250.7237854,262.3290714,-0.484375,-55.25362267,18.39566612,-47.26612854,284.6169434,0.00126,4.801691703,0.138167939,-47.15625381,-43.53125127,-53.74375305,221.215056,0.05384,33.71875,29.48958397,42.34375305,167.0312136,0.076146878,1.532370304,26.63061032,190,141.3333333,800,-29.00000191,-25.79166667,-48.69375229,-50.71875,-49.29167048,-71.96250305,3.863707298,2.944132335,4.511830576,-90.56250763,-71.68011475,599393756_60
Pvalb+,GABAergic,positive,aspiny,L4,-33.8258934,421.240387,3.855082512,422.5879211,-53.43235016,411.6318665,206.1276078,-14.22149754,-181.5954052,-14.28846169,-52.93132019,422.4299316,0.000431648,1.108055143,0.199978912,-57.03125,-50.18750191,-57.99375229,189.399088,0.00738,13.87500095,9.562500954,21.16875076,114.5536825,0.07573124,1.014534848,8.802597382,260,222.9375,499.9999695,-33.96875,-28.20312595,-41.38125381,-57.03125,-50.26562691,-69.71875,1.280707419,1.133770064,1.435021582,-83.875,-70.02110291,573976402_70
Vip+,GABAergic,positive,aspiny,L2/L3,-33.60346222,236.4070892,31.74408722,235.5641937,-49.31038666,198.6148682,278.5442645,-6.71030426,-102.6654716,10.3969593,-47.25,231.5574341,0.000785135,2.690220186,0.192480085,-51.75000381,-45.93750381,-53.25000191,165.538592,0.01268,39.15625,31.12500191,29.20312691,148.2811719,0.04970134,1.318383488,9.937719253,140,146.3124924,420,-40.4375,-35.62500191,-41.0625,-51.9375,-46.10937881,-73.578125,3.238056265,3.021111009,3.068499465,-90.78125763,-73.50350189,586072783_53
Sst+,GABAergic,positive,aspiny,L6b,-33.44632339,90.83087921,14.26066208,90.08970642,-50.90772247,80.74411774,177.9453735,-8.404779434,-103.849167,-9.648529053,-49.07904434,88.04558563,0.000705471,1.67515982,0.383654869,-53.96875,-53.81250127,-59.55625076,463.686336,0.039315,27.90625,28.42708397,26.36875,331.0936987,0.007173051,3.93760768,23.89354651,50,50.08333333,630,-36.87500381,-37.28125254,-43.825,-54.65625381,-53.96875,-77.30000153,2.198767379,2.143787733,2.11402197,-100.34375,-76.3174057,328954223_44
Glutamatergic,Glutamatergic,positive,spiny,L4,-39.01905441,296.5243835,38.21189117,294.6798706,-57.60441971,218.146347,371.8679566,-2.410061121,-86.36019166,13.23628044,-52.40701294,274.1859741,0.000933659,4.332028661,0.040419162,-54.40625,-57.2083346,-57.75000305,309.563808,0.03548,41.84375381,37.33333588,36.94375229,174.999997,0.059799172,1.545785984,23.8389264,70,51.99999873,620,-36.9375,-43.32291921,-50.83125229,-59.31250381,-63.91666921,-79.27500458,4.140237312,4.034418562,4.027741269,-102.5000076,-77.47489166,502245101_54
Glutamatergic,Glutamatergic,positive,spiny,L5,-34.27960587,85.42105103,46.38651276,85.35526276,-54.40953827,63.61184311,363.2844725,2.659539461,-93.79155141,24.33552551,-43.81908035,80.78947449,0.000866316,3.875161943,0.139333333,-46.15625381,-47.71875254,-49.5625,163.10928,0.06252,47.87500381,49.80208588,48.43750254,187.6562536,0.149057642,1.09177984,30.18776021,50,48.125,850,-34.78125,-36.23958588,-41.6458346,-53.71875381,-56.96875381,-65.75000254,3.896821045,4.125313929,3.967376419,-86.09375,-65.58430481,563353582_64
Glutamatergic,Glutamatergic,positive,spiny,L4,-32.15885544,144.1640625,34.98698044,144.5546875,-47.01367188,107.9791641,255.3072692,-3.695963621,-62.6712515,17.95638084,-38.70507813,135.421875,0.001091354,4.097600752,0.17254465,-41.59375381,-43.22916921,-49.41406441,173.020224,0.06211,35.71875,46.25000127,49.23437691,158.1250429,0.03639495,3.024148992,18.71314895,90,87.45833333,760,-32.46875,-33.35416794,-41.96093845,-47.9375,-49.63541921,-73.21094322,4.150009569,4.222357255,4.004229267,-89.28125,-72.29560852,476056333_42
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-37.28868866,129.4136963,20.17447853,129.0491028,-52.78273773,104.4925613,217.5971363,-5.593378067,-73.05390842,-3.384300709,-49.2712059,124.2782745,0.000874524,2.999057045,0.346889401,-52.18750381,-50.47917048,-53.77083715,189.116288,0.03218,22.9375,25.02083524,26.80208397,185.9373897,0.131265104,1.276100096,9.680092138,80,93.83333333,440,-37.59375381,-36.43750254,-41.10416921,-55.71875381,-53.17708588,-69.21875254,2.866436687,3.069963659,2.529017536,-88.62500763,-68.26287842,526801742_42
Vip+,GABAergic,positive,aspiny,L6b,-30.1774044,89.48942566,27.27379799,89.08942413,-43.50216293,76.54904175,226.8416677,-7.708413601,-52.66309036,10.75961494,-41.0550499,84.6701889,0.001128154,4.386904941,0.398581713,-46.65625,-45.54166794,-49.47917048,487.725632,0.0091,38.28125,43.4583346,42.69791921,265.6248212,0.037250452,1.191909376,15.74572639,60,47.91666667,210,-33.90625,-33.56250127,-40.79166794,-46.78125381,-49.16667048,-61.64583715,3.051047553,4.058362397,2.9530603,-99.25,-59.92427063,594611511_52
Vip+,GABAergic,positive,aspiny,L4,-31.50152397,117.8201218,17.95274353,117.2286606,-44.21341324,83.90853882,154.0351449,-11.39481735,-64.73108169,-1.078506112,-40.33841324,114.2865829,0.000966341,2.359955886,0.025,-43.34375381,-42.88542048,-50.21875381,305.122368,0.01374,22.87500191,22.94791794,22.37500191,294.9775457,0.090518549,1.145816576,16.55885977,70,72.54166667,290,-34.3125,-29.58333524,-40.93750191,-43.50000381,-43.02083588,-66.85937881,2.799375446,2.05747221,3.045693096,-87.5625,-66.40088654,560817063_46
Glutamatergic,Glutamatergic,positive,spiny,L4,-42.72480011,190.1209717,40.63709641,190.5040283,-62.88306427,135.1975861,478.2456285,0.679435492,-113.3485045,12.44758034,-52.59980011,190.0362854,0.000695968,4.228376134,0.182500009,-53.40625381,-51.05208588,-53.61250229,119.94748,0.041235,43.65625381,47.85416921,48.30625153,148.7499624,0.018988552,1.570791936,20.14324564,110,75.20833079,880,-43.12500381,-38.78125254,-51.35000229,-59.84375381,-59.89583588,-84.13750763,4.412293481,4.330757636,4.913151028,-100.2187576,-83.56320953,482726727_50
Glutamatergic,Glutamatergic,positive,spiny,L4,-38.01202011,86.16025543,33.39262772,86.13461304,-59.70192337,63.64102554,352.743517,-6.426281929,-118.5485792,7.256410122,-50.31410217,85.11859131,0.000697308,2.976406549,0.27195122,-49.87500381,-51.28125381,-55.83125229,354.501888,0.047835,32.0625,35.12500127,32.49375,248.5714257,0.103792816,1.827482624,25.58045507,50,53.50000127,224,-36.46875,-35.20833588,-45.95000076,-59.84375381,-60.66666794,-77.09375458,3.001797956,3.012086421,2.883239448,-99.34375763,-75.83546448,490267219_48
Vip+,GABAergic,positive,aspiny,L5,-40.89988327,48.70370483,36.95196915,48.62963104,-56.61169052,40.37731552,438.0396614,-4.332175732,-123.4302805,15.61226845,-52.69907379,48.04861069,0.000661481,3.564264336,0.590019371,-54.46875,-52.45312881,-52.91875305,494.61056,0.0171,42.40625381,36.73437881,35.94375076,278.7861526,0.06802652,3.757427712,12.74232523,30,29.37499905,280,-41.96875,-41.59375191,-42.23750153,-58.28125381,-56.109375,-73.21250458,3.407754541,3.639240313,3.359133576,-99.90625763,-72.58602142,562527850_52
Vip+,GABAergic,positive,aspiny,L2/L3,-39.31708145,65.38666534,34.00249863,64.95333099,-52.56416702,53.58666611,259.3228854,-4.744999886,-98.10749378,8.826666832,-50.59500122,63.12166595,0.000864,2.637069662,0.495173882,-53.31250381,-50.96875,-54.03125095,580.91392,0.01172,37.5,37.28125,40.41406441,246.875003,0.091431744,1.36738048,9.076096283,40,38.125,200,-42.5,-38.37500381,-46.80468845,-54.03125381,-51.56250381,-71.34375381,2.824105894,2.937149693,3.074600402,-98.96875,-70.71720886,563790168_46
Sst+,GABAergic,positive,aspiny,L5,-34.48041534,370.4583435,36.26083374,370.1516724,-51.98333359,274.7216797,350.1792056,-0.113333337,-80.30545336,16.51208305,-45.76208496,356.7333374,0.0008336,4.386219854,0.15730482,-49.00000381,-49.91666794,-60.17500229,122.057408,0.06118,37.28125381,40.04166921,38.50000153,89.84375,0.036071308,2.775493376,17.88359168,220,174.4166667,710,-33.59375,-43.71875127,-39.78750305,-54.46875,-57.00000127,-72.40625305,4.327095883,4.080480841,3.130386438,-82.28125763,-71.98435974,584671501_63
Glutamatergic,Glutamatergic,positive,spiny,L5,-41.14713669,84.08333588,20.16275978,83.96353912,-59.20833206,58.33854294,197.3670195,-13.53255177,-74.79378977,-5.786458492,-51.30208206,81.578125,0.000930417,2.636702753,0.264285714,-53.34375381,-50.36458588,-53.92708588,161.91344,0.0294,23.00000191,35.125,28.23958524,348.4373391,0.15209204,1.511369088,35.4837584,50,54.5,530,-42.03125,-37.91666667,-47.93750254,-57.56250381,-57.88542048,-73.36458588,2.743716666,2.601708397,2.869434122,-95.15625,-71.22705841,480122859_47
Glutamatergic,Glutamatergic,positive,spiny,L4,-32.15953827,235.1381531,36.8544426,233.9243469,-45.58922577,183.514801,215.352258,6.209292889,-60.52332826,15.80509853,-41.86801147,208.3733521,0.001150658,3.567239603,0.083333339,-42.56250381,-41.87500254,-47.13281441,330.564992,0.03237,38.87500381,41.5520846,40.76562786,203.5715133,0.026670441,1.645207552,17.23043288,70,48.4583346,265,-33.87500381,-30.23958524,-39.57812595,-46.96875,-48.79166921,-68.39062691,3.390986151,3.292593919,3.721389728,-88.53125763,-66.64891052,476198393_39
Vip+,GABAergic,positive,aspiny,L4,-34.44807816,204.7269287,28.12980843,203.1403809,-47.22163391,145.0038452,190.4070029,-11.47403812,-67.99080899,4.49567318,-40.8134613,195.4288483,0.001065846,2.762416565,0.156395347,-46.1875,-43.87500381,-49.80625229,227.954624,0.0126,39,40.31250381,43.84375229,175.7810563,0.104386546,1.14688064,9.462648271,120,120.7499949,360,-39.0625,-35.22916794,-45.15000229,-47.75000381,-44.41666794,-73.15000458,3.443987983,3.137627698,3.574320916,-86.53125,-73.01116943,585944237_46
Pvalb+,GABAergic,positive,aspiny,L2/L3,-38.42564392,841.7432861,11.80426788,843.2428589,-57.30397034,843.5814209,243.9826671,-9.773807526,-217.580988,-10.70785046,-57.22296524,843.1895142,0.000429589,1.118927511,0.943692178,-62.62500763,-57.55208715,-63.60625076,122.554448,0.00924,19,18.6770846,24.91875114,60.09615213,0.027717017,1.710367744,5.673807744,570,320.4166667,870,-36.50000381,-39.31250127,-46.98750153,-62.71875763,-57.63542048,-69.41250458,1.118429153,1.152816341,1.266992377,-76.71875763,-69.09333801,580507567_75
Sst+,GABAergic,positive,aspiny,L5,-36.3125,163.71875,32.8125,164.5729218,-56.79166794,136.2708282,257.309646,5.973958492,-160.4585537,8.752604485,-54.07551956,165.46875,0.000592917,1.588683461,0.03997379,-55.50000381,-50.77083588,-58.10937786,209.710544,0.046795,36.125,27.5104173,36.25000286,267.8124607,0.059615683,1.871810048,41.01745209,70,164.4583333,780,-41,-30.19791794,-45.92968941,-55.59375,-50.81250381,-72.10937691,1.849285475,1.422308687,1.853844907,-97.68750763,-70.22198486,473011949_61
Vip+,GABAergic,positive,aspiny,L5,-41.17656326,140.5,24.58906174,140.5687561,-61.84843826,123.6187515,327.510738,-6.150000572,-234.3128252,-7.243750095,-60.42812347,140.3812561,0.000448,1.390702493,0.054447723,-62.53125381,-60.63542048,-64.47656822,184.239136,0.0275,29.59375,26.48958524,32.015625,167.0088619,0.121829212,2.112418816,19.11204937,80,155.0833282,590,-45.3125,-39.63541921,-47.16406441,-62.59375,-60.68750127,-73.64844131,1.560395454,1.359275719,1.551356049,-92.31250763,-72.66383362,531342116_47
Glutamatergic,Glutamatergic,positive,spiny,L4,-50.68198395,205.0735321,28.80882263,205.4595642,-66.02941132,148.25,309.9221577,-11.5992651,-77.6906047,10.80330849,-58.13878632,200.1838226,0.001021765,3.998726378,0.11477273,-60.96875381,-58.58333588,-62.38021088,132.560408,0.08718,31.62500191,35.36458588,36.57812564,127.8125793,0.062222064,1.68336704,30.04188131,110,87.54166667,1300,-48.75000381,-50.25000127,-59.25000254,-67.625,-68.69792175,-84.82813009,4.147172707,4.145268301,4.167060703,-98.40625763,-84.48754883,588728161_55
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-37.96006775,107.3133698,19.55121613,107.0902786,-49.35894012,90.0173645,169.9347171,-3.498914957,-54.94552927,1.665147543,-46.78016663,101.7118073,0.001113472,3.134409279,0.512837838,-50.90625381,-50.15625381,-54.01339449,459.247552,0.01542,23.34375191,27.4479173,29.13392993,332.1875334,0.067378908,2.610550016,15.62111289,70,69.25,330,-39,-37.0208346,-41.51785878,-51.90625381,-51.82291921,-71.75446538,2.703335237,2.699014049,2.016851812,-100.0625076,-69.14510345,555781149_64
Glutamatergic,Glutamatergic,positive,spiny,L6a,-41.47899628,203.9590149,34.79149628,203.3729553,-51.14241791,146.4077911,284.9521152,-1.101434469,-72.2339287,12.50870895,-44.56967163,181.1229553,0.000999344,3.95535726,0.152747249,-51.18750381,-52.76041921,-55.22916794,249.948128,0.05462,46.5,47.07291794,44.77083588,203.9063275,0.094743282,1.5534592,21.54413955,90,61.50000254,600,-42.93750381,-43.25000127,-47.375,-56.90625381,-58.76042048,-71.87500254,4.982884558,4.823874759,4.410160205,-93.625,-71.27861023,526573598_41
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-30.12970924,258.3630066,33.78253555,257.3544617,-47.11172867,199.5565033,265.7895163,1.832619905,-86.47469113,16.1579628,-44.37371445,247.0410919,0.000829041,3.119829193,0.279481137,-47.28125381,-47.88541921,-49.62500305,272.45328,0.01544,38.4375,39.98958588,41.17500305,176.5626073,0.17075187,1.309542656,9.559850068,150,180.1666616,530,-32.53125,-32.94791921,-40.22500229,-47.375,-50.07291794,-71.10000458,2.544416029,2.925050686,2.147103908,-88.65625763,-69.71954346,594091004_78
Sst+,GABAergic,positive,aspiny,L5,-39.60357285,49.69643021,18.70267868,49.2321434,-53.55535889,40.15000153,201.7079202,-3.462500095,-110.8997709,-6.931250095,-51.0892868,47.85357285,0.000679714,1.805791907,0.272144673,-56.0625,-54.85937691,-57.61458588,594.601088,0.023255,24.18750191,26.203125,24.13541794,476.5624404,0.015090343,3.336546304,38.7466496,30.00000191,16.75000048,380,-44.71875381,-43.56250191,-45.63541921,-56.25000381,-55.04687691,-70.12500509,2.087631245,2.205331665,2.036319901,-101.3437576,-66.95246887,466664172_47
Glutamatergic,Glutamatergic,positive,spiny,L6b,-27.90862274,246.875,28.02492142,245.4730988,-43.04667664,183.7547455,211.4157846,-4.390031815,-84.2217949,4.134493828,-37.72310257,238.9683533,0.000795443,2.506829518,0.201461044,-41.8125,-41.79166667,-51.10625,149.070016,0.03914,29.3125,32.75000127,31.65000153,191.4061755,0.064362869,2.30550272,15.44005323,150,141.0416667,570,-28.46875191,-28.08333524,-39.65625229,-43.96875381,-45.77083715,-72.01250458,2.714338354,2.315674632,2.557034118,-93.56250763,-71.14360809,471789504_57
Pvalb+,GABAergic,positive,aspiny,L4,-39.54502869,764.1875,7.55546999,765.5731812,-54.56065369,765.1332397,216.6663876,-11.47929478,-171.6480566,-12.72726822,-54.46171951,765.6773682,0.000441486,1.26034331,2.144852737,-63.96875381,-64.68750254,-69.11458588,123.878368,0.004265,12.71875,14.95833429,24.11458333,92.52218902,0.01635991,1.291616384,5.048592005,509.9999695,253.9166565,480.0000305,-46.03125,-38.4375,-51.75000381,-64.03125,-64.80208588,-77.55208842,1.216799442,1.036941416,1.085392107,-87.0625,-77.20410919,488685185_69
Vip+,GABAergic,positive,aspiny,L5,-35.79442596,64.47740936,28.87951851,64.20481873,-48.53539276,51.28012085,313.8836005,-4.337349415,-75.91484282,14.68147564,-44.06777191,61.54518127,0.000839518,4.182453999,0.275485961,-45.15625,-41.58333333,-46.12500286,324.991232,0.01214,32.25000381,36.36458333,39.53125,273.2812166,0.098321155,2.463468288,16.39313368,30,55.75,230,-37.28125381,-31.86458651,-41.82031345,-50.65625,-44.98958588,-64.82031822,3.80782717,4.04364754,3.106678526,-92.96875763,-64.79066467,575919223_59
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-33.11562347,68.03437805,5.590624809,67.69687653,-46.41640472,55.83124924,92.8026056,-8.579687119,-71.25988678,-8.6328125,-44.51718903,65.75312805,0.000861625,1.292478399,0.290424432,-47.21875,-48.59375254,-52.87500229,317.859968,0.031455,6.875000477,16.41666794,7.512500477,392.4999237,0.123851076,2.3824576,29.78555396,30.00000191,39.75,340,-38.21875,-36.80208715,-37.825,-47.90625381,-48.70833588,-64.51875229,1.560664855,1.427969475,1.429838329,-98.75,-63.31825638,479219923_42
Glutamatergic,Glutamatergic,positive,spiny,L5,-30.18348122,446.655365,29.25803566,443.4803467,-46.63214111,345.4107056,193.9754753,-3.08571434,-48.99073926,10.85401821,-41.34955215,412.407135,0.001304857,3.988137154,0.066176468,-42.28125,-41.94791794,-44.85937881,215.441424,0.04428,36.28125,40.92708588,43.12500381,237.031281,0.024376336,1.12133184,26.4210964,230,161.875,830,-30.40625191,-32.05208397,-39.96875191,-46.09375,-50.38542048,-67.40625,3.913028073,4.088246457,4.611910284,-92.15625,-67.34832764,581741836_73
Vip+,GABAergic,positive,aspiny,L2/L3,-33.12008667,146.2822266,12.73152542,145.870285,-45.21953583,126.754715,194.236069,-13.71187115,-78.99435319,-5.272405624,-43.53144836,141.7783051,0.000740377,2.448124211,0.436830357,-49.625,-47.01041667,-53.87500191,290.759008,0.01316,18.56250191,20.8333346,15.828125,258.5937977,0.146825418,1.182872576,12.87842983,90,72.95832825,290,-40.1875,-36.8125,-47.23437691,-49.6875,-47.34375381,-75.89063263,2.642182666,2.66657147,2.516570074,-98.28125763,-75.18585968,522418855_40
Glutamatergic,Glutamatergic,positive,spiny,L4,-39.14104843,116.1385117,37.22888565,116.3006744,-52.99071121,87.57094574,332.9073209,-2.369087934,-97.04346522,17.21114922,-44.82854843,114.7060776,0.000788243,3.432520586,0.175628625,-46.5,-46.82291794,-50.1458346,182.226272,0.060385,41.40625,32.69791667,42.0260423,150.6249905,0.050345909,2.472780032,22.81662022,59.99999619,79.83333333,790,-38.59375,-37.8020846,-46.72916857,-58.09375381,-54.56250127,-72.87500127,3.502668627,3.396832669,3.804846708,-87.84375,-72.60475922,324521027_56
Glutamatergic,Glutamatergic,positive,spiny,L4,-40.28800583,110.3851318,42.15625,110.2263489,-57.57685852,92,442.1589806,-4.118243217,-110.4986911,11.77871609,-47.94932556,108.5810776,0.000739459,4.003409034,0.191949153,-49.96875381,-50.88541921,-52.62500381,157.871936,0.05544,43.75000381,40.44791794,41.89583588,152.4999738,0.079347119,2.064505728,26.81799125,70,85,870,-39.8125,-39.53125254,-47.05208715,-61.93750381,-59.69791921,-76.08333842,3.807438091,3.642956706,4.091511847,-91.78125,-75.59310913,500964382_44
Glutamatergic,Glutamatergic,positive,spiny,L5,-42.26826859,219.2019196,27.68413544,219.6480713,-54.85625076,184.2480774,285.5947634,-14.51201916,-99.37866488,1.095673084,-47.90240479,217.8134613,0.000843077,2.870664539,0.17057087,-48.46875381,-49.85417048,-52.75000191,126.105232,0.05194,31.34375,42.63541794,38.32031441,108.5936353,0.155113935,2.706604288,17.5729807,140,157.4166667,1240,-42.46875381,-43.57291921,-51.90625381,-57.56250381,-55.31250381,-76.21094322,3.128037125,3.816760984,3.508279543,-86.46875763,-75.12489319,502366405_64
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-41.02025604,120.2662048,4.285879612,119.7824097,-55.79803085,103.2638855,225.1583413,-20.99884224,-119.1781826,-12.3182869,-54.62036896,117.3495407,0.000547037,1.887401354,0.416944444,-57.00000381,-59.19791921,-62.03125381,367.372608,0.02132,9.53125,19.0520846,15.56250095,251.8749833,0.066926263,1.213883392,16.29041935,70,60.66666921,410,-45.25000381,-45.63541794,-45.375,-57.56250381,-59.62500381,-71.15625763,2.019476922,1.940817536,1.914639447,-96.90625,-69.68566132,561552455_58
Glutamatergic,Glutamatergic,positive,spiny,L6b,-40.01674271,61.8080368,44.90625,61.85268021,-53.3716507,45.91518021,319.8955976,1.475446463,-80.2993666,18.3660717,-42.7935257,61.89731979,0.001,3.976075489,0.20177305,-46.28125381,-47.09375254,-49.08750305,156.835296,0.04848,49.75000381,50.50000381,48.13750076,205.1562816,0.105839252,1.102808192,31.84058068,40,41.66666667,700,-41.34375381,-40.72917048,-41.66875305,-54.65625381,-55.15625127,-66.02500458,4.41473359,4.557697709,3.872916025,-90.03125,-65.99524689,558583839_40
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-31.43327713,134.4864807,25.33868217,134.3074341,-47.90033722,116.6030426,200.5624242,2.105996609,-64.18352575,-5.21875,-46.22803879,130.3429108,0.001041892,3.139869511,0.384072327,-50.03125381,-49.87500381,-53.88125229,277.137472,0.03878,23.43750191,25.93750191,30.91875114,263.3928955,0.057687655,1.35202752,10.70290333,70,57,350,-31.93750191,-32.40625191,-36.73125153,-51.65625381,-52.71875,-62.97500305,3.073530259,3.294902699,2.384063673,-89.03125763,-62.26888275,562630201_54
Glutamatergic,Glutamatergic,positive,spiny,L4,-31.28846169,318.1754761,36.51202011,318.0673218,-47.89783478,231.271637,274.3433638,-0.3046875,-92.72415467,14.32692337,-39.77824402,311.9879761,0.000809808,2.96374757,0.12345416,-38.1875,-41.87500254,-44.51562595,96.449552,0.060525,44.03125,46.38542048,49.62500191,162.4999195,0.104034506,1.672243072,18.37405709,150,84.58333333,1030,-26.90625191,-29.2083346,-41.14843941,-45.03125381,-52.16666921,-72.89843941,3.302439646,3.312376539,3.644305099,-88.31250763,-71.94487,483092310_63
Glutamatergic,Glutamatergic,positive,spiny,L5,-36.12351227,166.5476227,35.81919479,166.2529755,-50.4375,124.5505981,331.458404,-4.886904716,-115.0257972,9.568452835,-41.53050613,163.3898773,0.000694762,2.879355869,0.207532397,-41.40625,-44.1875,-49.17500076,201.383328,0.04688,42.31250381,44.125,42.38125153,128.515631,0.136610806,1.312061952,14.86856874,90,63.68749809,770,-36.78125,-38.78125191,-44.26250153,-53.46875381,-50.87500381,-66.62500458,3.225886023,3.498666499,3.391594146,-80.4375,-65.89704132,563220277_57
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-37.875,270.5570984,37.51736069,269.8009338,-52.0879631,218.7901306,341.5420886,-4.823302269,-82.62293928,17.46334839,-45.67515564,257.0030823,0.000927901,4.209853978,0.163157898,-47.71875381,-49.30208715,-52.62500381,141.496464,0.08728,36.6875,42.34375254,39.90625381,76.8750757,0.004633436,1.117115904,13.23954864,150,156.125,1160,-39.03125381,-39.15625254,-45.03125381,-55.65625381,-54.34375254,-83.25,3.703047897,3.912307699,3.943836469,-93.46875763,-83.51786804,502359001_53
Glutamatergic,Glutamatergic,positive,spiny,L4,-36.13418961,76.34926605,38.01470566,76.01837921,-59.95496368,67,352.5280679,-2.410845518,-93.01560616,12.34099293,-50.91543961,73.06617737,0.000875882,3.790572208,0.195202952,-50.03125381,-47.85416921,-52.16667048,134.760864,0.04422,41.37500381,44.01041794,40.98958715,170.1562107,0.055936977,1.372067456,46.92318235,50,106.4999975,890,-36.18750381,-33.0208346,-46.01041794,-58.0625,-55.05208715,-74.70833842,3.834631932,3.706436415,4.041106773,-90.71875,-72.99732971,514544971_56
Glutamatergic,Glutamatergic,positive,spiny,L5,-21.78376961,449.0221863,34.63810349,446.4617004,-38.88054276,309.9737854,134.760447,-4.931955814,-38.21698687,8.223790169,-32.45766068,399.0705566,0.001847823,3.543807356,0.117904755,-38.6875,-45.453125,-52.00000076,138.224288,0.02232,29.5,35.09375191,30.39375,151.093781,0.034500029,3.387150336,15.04206713,249.9999847,64.4375,840,-30.84375191,-34.546875,-20.96250038,-41.59375,-50.68750191,-71.1,3.398680726,3.606478048,2.699353543,-87.53125,-69.45157623,320654829_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-34.53352356,279.0340881,33.70568085,277.0386353,-54.24431992,231.7840881,305.9447343,-2.06704545,-70.47667106,16.53579521,-49.65283966,263.0727234,0.001036364,4.37342913,0.182860779,-48.5,-49.22916921,-53.22656536,175.840528,0.10696,36.375,40.1875,40.41406345,127.1427423,0.039776992,1.500175872,18.2617507,130,94.70833333,1040,-33.09375,-34.15625127,-46.31250191,-54.46875,-55.91666794,-78.45312691,3.987324496,3.744334523,4.027185593,-93.90625,-78.29279327,504647603_62
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-31.98132133,227.727005,21.1964798,226.870697,-48.76688385,183.2068939,200.8186832,-2.656609297,-54.12962334,-4.691092014,-45.55711365,215.1264343,0.001071494,3.757454116,0.229166677,-50.62500381,-48.23958715,-55.63750229,179.216928,0.11094,21.90625191,22,22.80000076,139.8438215,0.015617409,1.107541504,9.205499207,130,126.8333333,700,-32.90625381,-31.4583346,-40.85,-52.53125381,-50.70833715,-73.0750061,3.50895382,3.391103536,2.238028687,-86.65625763,-72.26215363,527874431_43
Glutamatergic,Glutamatergic,positive,spiny,L5,-40.01367188,249.78125,33.02539063,250.3046875,-54.52636719,163.890625,246.6529185,-5.412109375,-76.19444538,7.577148438,-46.48925781,240.8242188,0.001028125,3.23498803,0.099348534,-47,-43.80208588,-51.20625076,142.759456,0.069205,38.1875,43.26041667,38.58125,122.3437116,0.059771433,1.468712448,23.33545272,110,76.5,840,-40.03125,-36.26041667,-42.90625076,-55.03125,-51.16666667,-72.8875,3.454355791,3.817829659,3.794998608,-88,-71.6550293,325480372_43
